0	17	34	51	68	85	102	119	136	153	170
COL4	0.477607437584174	0.498424464524122	0.51118635523243	0.523731597144302	0.538790727572782	0.55485173432887	0.559317992594094	0.537129439081186	0.489864704278729	0.416805842212286	0.336604622616526
CDH8	0.257175857818692	0.291344127168241	0.321215570778593	0.351755104120719	0.380073732761278	0.403062173382807	0.414575892585912	0.411446047387405	0.392555877877578	0.358398047047735	0.316721412444153
CEACAM6	0.470736802694249	0.454209685106864	0.45777338477065	0.477447781934936	0.496769444340472	0.506968870992067	0.511563347120334	0.498824710816672	0.446592352030252	0.360661351236534	0.25586637765138
CD44	0.347397514163081	0.334123311316379	0.33436920154428	0.344584711602238	0.361678052133945	0.377631818134709	0.383449881660576	0.374906592006451	0.353042597184353	0.316347574019579	0.272605327328297
POSTN	0.397647597830919	0.420980559931022	0.424673850215094	0.415982261346861	0.414353743411573	0.43668894669566	0.471935571797374	0.477298730256594	0.451513079798227	0.369529349334477	0.255934918631733
COL2A1	0.333616182227625	0.404931876146959	0.438599667002489	0.448288516634388	0.430145601061784	0.446503386585501	0.467448861460001	0.487255885784577	0.498070879991685	0.480456208894165	0.306052498586564
FBN1	0.288430955689459	0.327295039863501	0.327149268598501	0.337034724347461	0.375789362476186	0.429734048405479	0.438587934771222	0.444759336679397	0.447549570903123	0.404465447134212	0.289099855608439
CDH1	0.32789401761018	0.402455193406089	0.444020497374502	0.441219941000385	0.428327120433442	0.42862067729819	0.436032389557168	0.412774291104179	0.376775964914202	0.317635661022774	0.229033564071485
BCAN	0.350274725274466	0.28846153846216	0.40031397174223	0.451127819548354	0.416425679584469	0.509222919936737	0.549450549450476	0.507617382617452	0.502172246358738	0.515109890109156	0.315336837076302
ECM1	0.384615384615254	0.384615384615687	0.445054945054726	0.503846153846372	0.538461538461002	0.527065527066231	0.561771561770948	0.547842401501443	0.56410256410241	0.502454991816411	0.333878887070585
CDH20	0.35881389601466	0.371884372103992	0.387769461734398	0.406780739610148	0.411221638024834	0.418887541773304	0.423661284091573	0.432277092391841	0.423691014209096	0.365424574620011	0.267818594941386
TNC	0.41464348810728	0.421856144657807	0.428794670672002	0.44767740868216	0.472848312223165	0.504151744651379	0.548068347945254	0.562689707025609	0.534198108844842	0.452465754271296	0.330608363508576
DSG2	0.307251027856958	0.322293766658803	0.35570452541951	0.392149947352552	0.43230566495238	0.462376554358093	0.477722389475838	0.478911493619888	0.456575189215626	0.372942525020557	0.253124830730389
CDH6	0.422885426006816	0.396283758659469	0.384673133332624	0.383780201324896	0.391409655688599	0.40500403826224	0.42150187995128	0.425971947495242	0.409975902551933	0.366923868957398	0.3072794680397
COL3A1	0.307692307692332	0.333333333333266	0.319526627219005	0.364372469635612	0.384615384615321	0.364102564102693	0.4382284382283	0.409615384615469	0.432478632478656	0.4348508634222	0.274959083469769
